"","school_id","short_name","long_name","school_type","primary_category","address","city","state","zip","progress_report_year","school_survey_student_response_rate_pct","school_survey_teacher_response_rate_pct","school_survey_involved_families","school_survey_supportive_environment","school_survey_ambitious_instruction","school_survey_effective_leaders","school_survey_collaborative_teachers","school_survey_safety","suspensions_per_100_students_year_2_pct","misconducts_to_suspensions_year_2_pct","average_length_suspension_year_2_pct","behavior_discipline_year_1","behavior_discipline_year_2","student_attendance_year_1_pct","student_attendance_year_2_pct","teacher_attendance_year_1_pct","teacher_attendance_year_2_pct","one_year_dropout_rate_year_1_pct","one_year_dropout_rate_year_2_pct","mobility_rate_pct","chronic_truancy_pct","school_latitude","school_longitude","sat_grade_11_score_school_avg","attainment_psat_grade_9_school_pct","attainment_psat_grade_10_school_pct","attainment_sat_grade_11_school_pct","attainment_all_grades_school_pct","truancy_bin"
"1",610125,"RUIZ","Irma C Ruiz Elementary School","Neighborhood","ES","2410 S LEAVITT ST","Chicago","Illinois",60608,2022,88.3,74.1,4,3,3,3,3,3,1.3,9.1,"1.3 days",2021,2022,93.5,88.6,89.4,91.2,NA,NA,8,46.7,41.848101,-87.680745,0,0,0,0,0,"40-60%"
"2",609728,"ROOSEVELT HS","Theodore Roosevelt High School","Neighborhood","HS","3436 W WILSON AVE","Chicago","Illinois",60625,2022,75,68.9,3,3,4,4,4,2,4.7,6.9,"1.9 days",2021,2022,82.8,79.2,85.8,92.3,2.1,4.6,17.1,66.6,41.964828,-87.714819,850,29.2,11.8,9.9,17.1,"60-80%"
"3",610040,"LLOYD","Henry D Lloyd Elementary School","Neighborhood","ES","2103 N LAMON AVE","Chicago","Illinois",60639,2022,86.8,90.1,3,3,4,4,3,2,NA,NA,NA,2021,2022,94,89.2,93.9,93.7,NA,NA,11.1,43.5,41.918814,-87.748515,0,0,0,0,0,"40-60%"
"4",609983,"HEDGES","James Hedges Elementary School","Neighborhood","ES","4747 S WINCHESTER AVE","Chicago","Illinois",60609,2022,88.1,58.8,2,3,3,2,2,2,0.6,5.9,"1.7 days",2021,2022,90.7,88.3,88.6,92.5,NA,NA,12.2,44.6,41.807112,-87.673327,0,0,0,0,0,"40-60%"
"5",610225,"WHISTLER","John Whistler Elementary School","Neighborhood","ES","11533 S ADA ST","Chicago","Illinois",60643,2022,1.4,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2022,90.8,84.7,87.4,94.4,NA,NA,13.4,54.5,41.683907,-87.655384,0,0,0,0,0,"40-60%"
"6",610016,"KELLOGG","Kate S Kellogg Elementary School","Neighborhood","ES","9241 S LEAVITT ST","Chicago","Illinois",60643,2022,61,39.4,NA,2,3,NA,NA,3,0.4,20,"5.0 days",2021,2022,97,94.2,90.1,92.8,NA,NA,4.2,14,41.725263,-87.677233,0,0,0,0,0,"0-20%"
"7",610081,"SHERIDAN","Mark Sheridan Math & Science Academy","Magnet","ES","533 W 27TH ST","Chicago","Illinois",60616,2022,95.5,54.8,4,3,2,3,3,2,NA,NA,NA,2021,2022,98.1,94.6,90.6,94.2,NA,NA,1.9,11.4,41.8444,-87.64134,0,0,0,0,0,"0-20%"
"8",610073,"MITCHELL","Ellen Mitchell Elementary School","Neighborhood","ES","2233 W OHIO ST","Chicago","Illinois",60612,2022,79.5,73.7,4,3,4,3,4,3,0.3,25,"1.0 days",2021,2022,96.9,92.1,91.9,92.2,NA,NA,5.5,23.3,41.892082,-87.683185,0,0,0,0,0,"20-40%"
"9",609839,"CARROLL","Carroll-Rosenwald Specialty Elementary School","Neighborhood","ES","2929 W 83RD ST","Chicago","Illinois",60652,2022,54,57.9,2,4,5,2,2,4,12.8,27.8,"1.5 days",2021,2022,91.3,89.8,84.7,92.2,NA,NA,14.5,36.8,41.742517,-87.696012,0,0,0,0,0,"20-40%"
"10",400112,"ACERO - IDAR","Acero Charter Schools - Jovita Idar","Charter","ES","5050 S HOMAN AVE","Chicago","Illinois",60632,2022,87.4,81.8,3,3,3,1,1,3,NA,NA,NA,2021,2022,96.2,93,NA,NA,NA,NA,5,26,41.801042,-87.708797,0,0,0,0,0,"20-40%"
"11",610380,"WILLIAMS HS","Daniel Hale Williams Prep School of Medicine","Small","HS","4934 S WABASH AVE","Chicago","Illinois",60615,2022,89.8,99.9,4,4,5,5,5,2,3.4,11.8,"2.5 days",2021,2022,79,80.8,89.1,93.1,0.9,7.7,NA,71.4,41.806118,-87.62503,775,0,0,6.7,2.6,"60-80%"
"12",610130,"PIRIE","John T Pirie Fine Arts & Academic Center ES","Neighborhood","ES","650 E 85TH ST","Chicago","Illinois",60619,2022,97.5,50,NA,5,5,3,2,4,0.9,8,"1.5 days",2021,2022,85.1,85.6,84.8,92.3,NA,NA,20.1,53.9,41.74034,-87.607891,0,0,0,0,0,"40-60%"
"13",610212,"ALBANY PARK","Albany Park Multicultural Academy","Neighborhood","MS","4929 N SAWYER AVE","Chicago","Illinois",60625,2022,92.2,86.4,4,3,4,5,5,2,0.8,3.6,"1.0 days",2021,2022,94.8,93.1,90.1,92,NA,NA,7.1,22.4,41.971504,-87.710609,0,0,0,0,0,"20-40%"
"14",609704,"FARRAGUT HS","David G Farragut Career Academy High School","Neighborhood","HS","2345 S CHRISTIANA AVE","Chicago","Illinois",60623,2022,51.5,67.7,2,3,3,2,2,1,21.2,20.9,"1.8 days",2021,2022,70.3,70.3,80.2,89.9,6.7,4.8,20.6,80.3,41.84856,-87.708706,852,19.7,9.8,9.8,13.1,"80-100%"
"15",610022,"KILMER","Joyce Kilmer Elementary School","Neighborhood","ES","6700 N GREENVIEW AVE","Chicago","Illinois",60626,2022,70.9,53.5,3,5,5,2,2,4,NA,NA,NA,2021,2022,94.2,91.2,91.2,92.2,NA,NA,12.2,29.4,42.00364,-87.668222,0,0,0,0,0,"20-40%"
"16",609918,"FIELD","Eugene Field Elementary School","Neighborhood","ES","7019 N ASHLAND AVE","Chicago","Illinois",60626,2022,96.5,77.8,NA,2,2,NA,NA,1,NA,NA,NA,2021,2022,96.1,91,92.1,92.9,NA,NA,14.2,29.6,42.009664,-87.669985,0,0,0,0,0,"20-40%"
"17",609954,"GREGORY","John Milton Gregory Elementary School","Neighborhood","ES","3715 W POLK ST","Chicago","Illinois",60624,2022,62,76.5,1,2,2,3,2,1,3.9,35.5,"2.6 days",2021,2022,89.3,89.4,86.5,91.3,NA,NA,26.4,40.6,41.870742,-87.718666,0,0,0,0,0,"40-60%"
"18",610082,"MOUNT GREENWOOD","Mount Greenwood Elementary School","Neighborhood","ES","10841 S HOMAN AVE","Chicago","Illinois",60655,2022,71.4,75.6,5,5,5,4,4,5,NA,NA,NA,2021,2022,97.1,95.1,95.8,96.2,NA,NA,2,8.2,41.695734,-87.70581,0,0,0,0,0,"0-20%"
