"Chronic_Truancy_Pct","Student_Attendance_Year_1_Pct","Student_Attendance_Year_2_Pct","Student_Attendance_Avg_Pct","Teacher_Attendance_Year_1_Pct","Teacher_Attendance_Year_2_Pct","Teacher_Attendance_Avg_Pct","Mobility_Rate_Pct","Average_Teacher_Attendance"
46.7,93.5,88.6,86.9,89.4,91.2,92.5,8,90.3
66.6,82.8,79.2,86.9,85.8,92.3,92.5,17.1,89.05
43.5,94,89.2,86.9,93.9,93.7,92.5,11.1,93.8
44.6,90.7,88.3,86.9,88.6,92.5,92.5,12.2,90.55
54.5,90.8,84.7,86.9,87.4,94.4,92.5,13.4,90.9
14,97,94.2,86.9,90.1,92.8,92.5,4.2,91.45
11.4,98.1,94.6,86.9,90.6,94.2,92.5,1.9,92.4
23.3,96.9,92.1,86.9,91.9,92.2,92.5,5.5,92.05
36.8,91.3,89.8,86.9,84.7,92.2,92.5,14.5,88.45
26,96.2,93,86.9,NA,NA,92.5,5,NA
71.4,79,80.8,86.9,89.1,93.1,92.5,NA,91.1
53.9,85.1,85.6,86.9,84.8,92.3,92.5,20.1,88.55
22.4,94.8,93.1,86.9,90.1,92,92.5,7.1,91.05
80.3,70.3,70.3,86.9,80.2,89.9,92.5,20.6,85.05
29.4,94.2,91.2,86.9,91.2,92.2,92.5,12.2,91.7
29.6,96.1,91,86.9,92.1,92.9,92.5,14.2,92.5
40.6,89.3,89.4,86.9,86.5,91.3,92.5,26.4,88.9
8.2,97.1,95.1,86.9,95.8,96.2,92.5,2,96
7.1,98.9,96.5,86.9,89.4,93.1,92.5,6,91.25
61.6,86.7,84.1,86.9,88.9,92.1,92.5,21.2,90.5
55.8,87.3,84.8,86.9,87.4,92.8,92.5,21.8,90.1
13,98.6,94.5,86.9,92.6,92.6,92.5,NA,92.6
86.8,57.6,64.3,86.9,85.7,92.6,92.5,36.1,89.15
47.7,87.6,87.8,86.9,91.7,91.3,92.5,22.6,91.5
54.8,87.3,84.6,86.9,89.8,92,92.5,12.5,90.9
22.6,95.9,92.6,86.9,92.3,93,92.5,7.4,92.65
70.7,73,82.4,86.9,80.9,92.6,92.5,27.9,86.75
32.6,94.7,91.7,86.9,NA,NA,92.5,5.9,NA
32.3,92.2,90.5,86.9,88.5,92.8,92.5,12.1,90.65
26.7,95.2,91.9,86.9,94.3,93.7,92.5,9.8,94
36.6,89.4,90.5,86.9,86.2,91.2,92.5,8.3,88.7
32.5,91.6,91.3,86.9,91.3,92.8,92.5,7.5,92.05
51.9,67.5,86.9,86.9,NA,NA,92.5,4.4,NA
NA,71.1,68.9,86.9,NA,NA,92.5,NA,NA
19,97,93.4,86.9,91.2,93.3,92.5,5.4,92.25
14.5,98.6,93.6,86.9,NA,NA,92.5,2.8,NA
NA,NA,NA,NA,92.5,92.2,92.5,NA,92.35
58.7,90,86.5,86.9,85.5,92.8,92.5,24.9,89.15
37.6,90.8,88,86.9,95,93.5,92.5,14.4,94.25
51.1,88.2,86.6,86.9,89.9,91.5,92.5,20.2,90.7
39.9,93.8,89.8,86.9,89.2,93.1,92.5,12.6,91.15
44.4,91.2,89.2,86.9,NA,NA,92.5,7.5,NA
46.9,86,86.3,86.9,87.2,91.9,92.5,8.8,89.55
NA,NA,NA,NA,89.3,92.3,92.5,NA,90.8
91.4,59.3,51.9,86.9,NA,NA,92.5,85.7,NA
66.8,82.2,83.5,86.9,88.9,92.6,92.5,30.2,90.75
36.7,94.5,89.4,86.9,89.3,92.3,92.5,7.9,90.8
39.8,89,89.5,86.9,NA,NA,92.5,7.6,NA
55.3,87.9,83,86.9,88.8,93.6,92.5,11.4,91.2
83.6,50.3,72,86.9,NA,NA,92.5,19.5,NA
60.8,84.4,81.9,86.9,NA,NA,92.5,6.3,NA
39.8,92.9,88.8,86.9,NA,NA,92.5,4,NA
52.8,88.2,86.9,86.9,86.6,91.4,92.5,17.6,89
57.3,89.6,85,86.9,87.4,93.4,92.5,18.1,90.4
46.5,89.5,86.5,86.9,86.3,92.1,92.5,15.3,89.2
44.9,90.1,88.6,86.9,87.8,91.7,92.5,8.4,89.75
11.6,98,94.7,86.9,93.4,93.6,92.5,5.4,93.5
32.3,94.1,90.9,86.9,94.5,92.4,92.5,20.4,93.45
54.5,88.4,84.8,86.9,89.3,92.5,92.5,3.8,90.9
62.6,83.7,83,86.9,81.7,91.1,92.5,21.3,86.4
41.8,91.5,90,86.9,89.9,95.1,92.5,11.8,92.5
NA,66.1,48.6,86.9,80.6,89.4,92.5,NA,85
71.9,72.7,74.3,86.9,81.6,91.1,92.5,22.4,86.35
66,83,78.5,86.9,80.9,91.2,92.5,17.2,86.05
69.9,72,75.9,86.9,80.2,91,92.5,22.6,85.6
