"","school_id","short_name","chronic_truancy_pct","attainment_psat_grade_9_school_pct","attainment_psat_grade_10_school_pct","attainment_sat_grade_11_school_pct","sat_grade_11_score_school_avg","attainment_all_grades_school_pct","school_type","primary_category","truancy_bin","mobility_rate_pct"
"1",400013,"ASPIRA - EARLY COLLEGE HS",54.5,14.3,15.2,12.2,860,13.8,"Charter","HS","40-60%",21.6
"2",400022,"CHIARTS HS",11.5,42.7,44.1,34.5,957,40.5,"Contract","HS","0-20%",4.3
"3",400032,"CICS - ELLISON HS",70.8,5.7,0,0,739,2.6,"Charter","HS","60-80%",25.9
"4",400033,"CICS - LONGWOOD",69.6,15,6.5,1.4,800,7.8,"Charter","HS","60-80%",14.7
"5",400034,"CICS - NORTHTOWN HS",40.7,44.4,27.4,22.3,920,31.6,"Charter","HS","40-60%",4.4
"6",400035,"CHICAGO MATH & SCIENCE HS",20.8,37.6,22.9,38.8,967,33.3,"Charter","HS","20-40%",6.2
"7",400051,"NOBLE - NOBLE HS",51.9,40.1,32.3,21.2,907,31.4,"Charter","HS","40-60%",4.4
"8",400052,"NOBLE - COMER",64.8,14.2,14.4,10.4,848,12.8,"Charter","HS","60-80%",9
"9",400053,"NOBLE - GOLDER HS",59.9,33.6,21.6,19.4,905,24.8,"Charter","HS","40-60%",8.9
"10",400054,"NOBLE - PRITZKER HS",39.5,44.1,35,24.2,935,34.2,"Charter","HS","20-40%",3.8
"11",400055,"NOBLE - RAUNER HS",66.2,30.6,21.8,19.5,904,23.8,"Charter","HS","60-80%",5.1
"12",400056,"NOBLE - ROWE CLARK HS",76,6.9,4.8,3.6,830,5,"Charter","HS","60-80%",12.3
"13",400057,"NOBLE - UIC HS",60.8,26.9,26,23.6,907,25.4,"Charter","HS","60-80%",6.3
"14",400058,"NLCP - CHRISTIANA HS",74.6,3.8,7.1,4.3,783,5,"Charter","HS","60-80%",20.9
"15",400059,"NLCP - COLLINS HS",89.5,7,5.5,2.8,795,5,"Charter","HS","80-100%",16.1
"16",400061,"PERSPECTIVES - LEADERSHIP HS",66.6,9.6,5.6,4.5,822,7,"Charter","HS","60-80%",11.7
"17",400062,"PERSPECTIVES - TECH HS",69.8,12.9,10,4.5,807,9.2,"Charter","HS","60-80%",18.2
"18",400064,"PERSPECTIVES - JOSLIN HS",74.4,0,6.6,6.6,794,4.5,"Charter","HS","60-80%",16.6
"19",400066,"PERSPECTIVES - MATH & SCI HS",74.3,23,7.4,3.2,820,12,"Charter","HS","60-80%",21.9
"20",400077,"U OF C - WOODLAWN HS",54.8,18.1,6.7,7.8,846,11.6,"Charter","HS","40-60%",7.2
"21",400085,"ACERO - GARCIA HS",62.6,32.5,21.5,10.9,859,21.8,"Charter","HS","60-80%",8.7
